number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_units_layer_0,params_hidden_units_layer_1,params_hidden_units_layer_2,params_hidden_units_layer_3,params_hidden_units_layer_4,params_hidden_units_layer_5,params_hidden_units_layer_6,params_hidden_units_layer_7,params_hidden_units_layer_8,params_hidden_units_layer_9,params_lr,params_n_layers,params_use_residual,state
53,0.5403833740484846,2025-11-30 17:10:56.677326,2025-11-30 17:10:57.220382,0 days 00:00:00.543056,relu,0.019300689237247114,512,128.0,512.0,,,,,,,,0.0008234608353219174,3,True,PRUNED
54,0.2514665267614253,2025-11-30 17:10:57.220761,2025-11-30 17:11:28.410694,0 days 00:00:31.189933,relu,0.0007737777684904872,512,1024.0,512.0,1024.0,,,,,,,0.0005087788619298551,4,True,COMPLETE
55,0.3673299280740944,2025-11-30 17:11:28.411246,2025-11-30 17:11:30.961860,0 days 00:00:02.550614,relu,0.00026216833950306294,512,1024.0,512.0,1024.0,,,,,,,0.0005010805260730492,4,True,PRUNED
56,0.5626675390566085,2025-11-30 17:11:30.962227,2025-11-30 17:11:31.527112,0 days 00:00:00.564885,relu,0.053261587508497174,512,1024.0,512.0,,,,,,,,0.0005639154775658177,3,True,PRUNED
57,0.549779800978256,2025-11-30 17:11:31.527502,2025-11-30 17:11:32.080661,0 days 00:00:00.553159,relu,0.10346909346383909,512,1024.0,128.0,,,,,,,,0.0009216552406180931,3,True,PRUNED
58,0.5436879779910038,2025-11-30 17:11:32.081086,2025-11-30 17:11:32.822300,0 days 00:00:00.741214,relu,0.08322180529664389,2048,1024.0,512.0,1024.0,,,,,,,0.000703709617574108,4,True,PRUNED
59,0.5878002869514468,2025-11-30 17:11:32.822655,2025-11-30 17:11:33.492435,0 days 00:00:00.669780,leaky_relu,0.33073653173417394,64,512.0,64.0,1024.0,64.0,512.0,,,,,0.0005703505760306388,6,True,PRUNED
60,0.5308927972623557,2025-11-30 17:11:33.492862,2025-11-30 17:11:34.279074,0 days 00:00:00.786212,relu,0.12924504053464728,256,128.0,2048.0,1024.0,512.0,,,,,,0.0008299507453071444,5,True,PRUNED
61,0.3283513244488007,2025-11-30 17:11:34.279630,2025-11-30 17:11:39.380062,0 days 00:00:05.100432,relu,0.032211373310969835,512,128.0,512.0,1024.0,64.0,,,,,,0.0006672901172136885,5,True,PRUNED
62,0.5198970991370211,2025-11-30 17:11:39.380538,2025-11-30 17:11:39.991954,0 days 00:00:00.611416,relu,0.01675475475304089,512,128.0,512.0,1024.0,,,,,,,0.0006423408949305954,4,True,PRUNED
63,0.2495527683790364,2025-11-30 17:11:39.992405,2025-11-30 17:12:13.201530,0 days 00:00:33.209125,relu,0.040649114629379854,512,128.0,512.0,1024.0,64.0,64.0,,,,,0.0005093659576553876,6,True,COMPLETE
64,0.24950697728652663,2025-11-30 17:12:13.202073,2025-11-30 17:12:50.995149,0 days 00:00:37.793076,relu,3.668244366223511e-05,512,128.0,512.0,1024.0,64.0,64.0,32.0,1024.0,,,0.0005113055920562054,8,True,COMPLETE
65,0.5359428858874878,2025-11-30 17:12:50.995637,2025-11-30 17:12:51.652282,0 days 00:00:00.656645,relu,0.05570065963636703,512,256.0,512.0,64.0,64.0,64.0,,,,,0.0005069470024562337,6,True,PRUNED
66,0.5426905508380513,2025-11-30 17:12:51.652656,2025-11-30 17:12:52.305223,0 days 00:00:00.652567,relu,0.23831472575659313,512,32.0,512.0,256.0,256.0,64.0,,,,,0.0005830672521687304,6,True,PRUNED
67,0.602678817827115,2025-11-30 17:12:52.305954,2025-11-30 17:12:53.077997,0 days 00:00:00.772043,tanh,0.014906534728717964,512,64.0,512.0,32.0,1024.0,64.0,32.0,1024.0,,,0.0005273418356068966,8,True,PRUNED
68,0.2471796636722282,2025-11-30 17:12:53.078367,2025-11-30 17:13:29.382601,0 days 00:00:36.304234,relu,0.04109642134348592,512,128.0,512.0,2048.0,64.0,64.0,32.0,,,,0.0006082743146456671,7,True,COMPLETE
69,0.35371200866513686,2025-11-30 17:13:29.383159,2025-11-30 17:13:33.216110,0 days 00:00:03.832951,relu,0.06525117720194618,512,1024.0,512.0,2048.0,128.0,64.0,,,,,0.0007780435803030654,6,True,PRUNED
70,0.3787420523535443,2025-11-30 17:13:33.216776,2025-11-30 17:13:36.559208,0 days 00:00:03.342432,relu,0.04397565174985512,512,128.0,512.0,2048.0,2048.0,64.0,32.0,,,,0.0005796389643987815,7,True,PRUNED
71,0.42028398292617086,2025-11-30 17:13:36.559651,2025-11-30 17:13:38.040799,0 days 00:00:01.481148,relu,0.011440890502063684,512,128.0,512.0,2048.0,64.0,64.0,32.0,,,,0.0006206888024048926,7,True,PRUNED
72,0.35075806283034544,2025-11-30 17:13:38.041187,2025-11-30 17:13:43.356220,0 days 00:00:05.315033,relu,0.03411547241565843,256,128.0,512.0,1024.0,64.0,64.0,256.0,1024.0,,,0.0005384293291840038,8,True,PRUNED
73,0.36311479913448913,2025-11-30 17:13:43.356587,2025-11-30 17:13:46.098243,0 days 00:00:02.741656,relu,0.07912964735192168,512,128.0,512.0,1024.0,64.0,2048.0,,,,,0.0007395671101118188,6,True,PRUNED
74,0.5390114952095615,2025-11-30 17:13:46.099406,2025-11-30 17:13:46.929696,0 days 00:00:00.830290,relu,0.019476384107122227,512,128.0,32.0,128.0,64.0,128.0,32.0,,,,0.0006130786955934628,7,True,PRUNED
75,0.3496767248933993,2025-11-30 17:13:46.930128,2025-11-30 17:13:52.046702,0 days 00:00:05.116574,relu,0.04603282400328348,128,2048.0,512.0,2048.0,64.0,64.0,512.0,32.0,2048.0,,0.000500035537359652,9,True,PRUNED
76,0.5711847941587652,2025-11-30 17:13:52.047163,2025-11-30 17:13:52.821955,0 days 00:00:00.774792,leaky_relu,0.44458346570755736,1024,128.0,1024.0,1024.0,64.0,256.0,32.0,256.0,,,0.0008867971639393293,8,True,PRUNED
77,0.33437622628548824,2025-11-30 17:13:52.822288,2025-11-30 17:13:57.262784,0 days 00:00:04.440496,relu,0.00028928080717592126,2048,128.0,128.0,256.0,64.0,,,,,,0.0007058911433262516,5,True,PRUNED
78,0.34206803072451253,2025-11-30 17:13:57.263105,2025-11-30 17:14:02.714362,0 days 00:00:05.451257,relu,0.029242082818851385,256,512.0,64.0,1024.0,256.0,64.0,32.0,1024.0,,,0.0009959854516329014,8,True,PRUNED
